param_0,param_1,mean,se_mean,std,se_std,p10,se_p10,p25,se_p25,median,se_median,p75,se_p75,p90,se_p90,n_seeds
0.15,0.02209708691207961,160.032966,1.0800763080638556,88.35070470413086,1.1115314543796968,39.02,0.15240827677092483,86.16,0.3691978747326029,160.1,0.8533357007542918,231.39,1.9604109546498432,279.07,2.911983426248761,100
0.15,0.03125,146.004898,0.6762298342929262,75.91617565775718,0.6281663665319746,41.07,0.1505914266410202,83.8,0.31494748640355774,146.8,0.6446359868604572,207.18,1.1750246075222546,248.23,1.7394330319754403,100
0.15,0.04419417382415922,124.455518,0.4857150700706093,60.25396628816898,0.4691342347991223,41.9,0.12512619892159135,76.24,0.20798212821433876,124.56,0.433524433386902,172.17,0.848415635705219,205.7,1.2758439472669758,100
0.15,0.0625,101.979568,0.29059043659446476,44.98588044398635,0.28991234883274525,41.5,0.08468599159080073,66.6,0.13998556924183145,101.26,0.2883670500517623,136.57,0.5337602458033006,162.89,0.7709229677615153,100
0.15,0.08838834764831845,83.048198,0.14323775458779547,33.13730221503218,0.16763405559186254,39.64,0.06438520439863916,57.26,0.09600084174715143,81.56,0.1479284566364034,107.89,0.2957254391382915,128.36,0.4191188447929847,100
0.15,0.125,69.461858,0.07560578286337519,24.14180194304684,0.0837400333101558,38.26,0.05245488682206025,50.89,0.07091750791795301,68.09,0.1110964636810022,87.09,0.14845670729001753,102.4,0.2127264093913242,100
0.15,0.1767766952966369,61.13613599999999,0.05530847509389604,17.953665495745184,0.0651948549504313,38.18,0.04353101761904372,47.57,0.05174724898753341,60.19,0.06620293258480535,73.82,0.12258165697306685,85.52,0.16725955152324656,100
0.15,0.25,56.296494,0.03317965793444026,13.699026005406527,0.04650879473642916,38.95,0.026111648393354676,46.11,0.031446603773522014,55.6,0.0492365963917331,65.75,0.07436600722307894,74.63,0.1060350618589641,100
0.15,0.3535533905932738,53.764294,0.02151810916085763,11.007151614319403,0.0324821859159178,39.96,0.019694638556693237,45.97,0.017144660799776532,53.16,0.036845294917747066,61.12,0.04980771105770752,68.44,0.07696253844067466,100
0.15,0.5,52.371144,0.01575091649217381,9.260081372414446,0.028014437450833624,40.84,0.036845294917747066,45.97,0.017144660799776532,52.0,0.0,58.51,0.05024183937956913,64.57,0.06396811074214395,100
0.15,0.7071067811865476,51.63264,0.011938345316202276,8.19853899541619,0.021551696420160703,41.1,0.03015113445777635,46.0,0.0,51.23,0.04229525846816506,57.07,0.02564323999762428,62.33,0.049349301265099337,100
0.15,1.0,51.305794,0.01258992139961503,7.698251835024429,0.021697788404504956,41.66,0.04760952285695232,46.0,0.0,51.01,0.010000000000000002,56.36,0.048241815132442176,61.34,0.05545040554177647,100
0.175,0.0009765625,130.56584,1.2086815888797884,91.51970566066205,1.8084674122442166,23.75,0.17371461561068396,57.4,0.3771236166328253,115.88,0.9111298347423247,185.39,2.0245411002660987,258.98,3.606951201457676,100
0.175,0.0013810679320049757,128.5583,1.0295019940973913,87.6066580011604,1.3587016892195523,24.44,0.18765969630200732,57.68,0.38947776482480906,115.55,0.8486918037649345,184.12,1.8185508716357845,253.97,3.4023893862039856,100
0.175,0.001953125,128.366066,0.9930298566276743,87.49933472043644,1.383855957666826,24.55,0.17716909687891083,59.07,0.3388199963092348,114.67,0.8054178914066782,182.65,1.6790073426181482,250.72,3.2873519477358712,100
0.175,0.0027621358640099515,130.848814,1.208979807092582,89.15678030884538,1.6750932810807861,24.71,0.15782294132375307,59.18,0.4016078795154409,117.76,0.8721412173669485,186.66,1.948022566396991,258.23,4.839084457192124,100
0.175,0.00390625,129.843594,0.9948273826916768,85.81790013145246,1.3381353662302138,25.74,0.17210520625536582,60.77,0.3642773391222405,118.47,0.7730896951632953,185.33,1.7728624916054305,251.06,3.1795374798637908,100
0.175,0.005524271728019903,133.492898,1.0550621977146295,86.35697479074732,1.2799877315077806,26.5,0.15602382620431515,62.68,0.4089602484942575,123.67,0.8555292531704003,191.7,1.8637151991209238,256.32,3.485377245787684,100
0.175,0.0078125,135.063384,1.0913983016173205,85.82198456424918,1.3676704181581218,27.4,0.1601766701382123,64.31,0.37623735255094687,126.98,0.9419494078073869,193.53,2.0105507060042385,255.53,3.8480076177500777,100
0.175,0.011048543456039806,132.672256,1.0303615222091378,80.84285538920676,1.166789978815676,28.53,0.1566408747305876,65.98,0.3567473712148232,126.98,0.9649388948047803,190.7,1.7822072343761335,244.29,2.965195242860549,100
0.175,0.015625,131.265128,1.024975641074519,78.23874827135843,1.2288923593656058,29.29,0.13279816841867034,66.11,0.28101367736942423,126.15,0.7490566457791149,190.62,1.8268358691818194,239.66,3.113808282505848,100
